"id","chembl_id"
2960,"CHEMBL224816"
2961,"CHEMBL478945"
2963,"CHEMBL235672"
2963,"CHEMBL25306"
2964,"CHEMBL3185292"
2965,"CHEMBL502773"
2966,"CHEMBL501637"
2967,"CHEMBL525935"
2968,"CHEMBL507115"
2970,"CHEMBL584011"
2971,"CHEMBL1095007"
2973,"CHEMBL473659"
2979,"CHEMBL504441"
2981,"CHEMBL501515"
2982,"CHEMBL447915"
2992,"CHEMBL1095004"
2997,"CHEMBL449303"
2997,"CHEMBL507688"
3001,"CHEMBL3185940"
3004,"CHEMBL3185090"
3004,"CHEMBL3188973"
3005,"CHEMBL170190"
3006,"CHEMBL1970520"
3006,"CHEMBL462815"
3007,"CHEMBL451973"
3007,"CHEMBL463013"
3013,"CHEMBL1984187"
3018,"CHEMBL1080997"
3018,"CHEMBL2297541"
3019,"CHEMBL463402"
3022,"CHEMBL3182226"
3025,"CHEMBL25424"
3025,"CHEMBL3182436"
3025,"CHEMBL3185053"
3025,"CHEMBL561014"
3030,"CHEMBL1988265"
3034,"CHEMBL478589"
3035,"CHEMBL486207"
3036,"CHEMBL1173373"
3037,"CHEMBL120276"
3038,"CHEMBL345478"
3039,"CHEMBL120697"
3040,"CHEMBL121305"
3041,"CHEMBL463552"
3042,"CHEMBL3561564"
3042,"CHEMBL458402"
3043,"CHEMBL25308"
3043,"CHEMBL488357"
3044,"CHEMBL3184169"
3048,"CHEMBL3184326"
3049,"CHEMBL285815"
3050,"CHEMBL449069"
3051,"CHEMBL526664"
3053,"CHEMBL25719"
3053,"CHEMBL452683"
3054,"CHEMBL1369384"
3054,"CHEMBL2268549"
3055,"CHEMBL3182514"
3056,"CHEMBL1078442"
3057,"CHEMBL1412710"
3058,"CHEMBL487795"
3059,"CHEMBL567921"
3060,"CHEMBL307341"
3061,"CHEMBL1782241"
3064,"CHEMBL1173563"
3065,"CHEMBL463409"
3069,"CHEMBL2227759"
3070,"CHEMBL465156"
3074,"CHEMBL564896"
3075,"CHEMBL223256"
3076,"CHEMBL487797"
3077,"CHEMBL480158"
